iter	BalancedAccuracy	Logloss
0	0.8890551918	0.6226765928
1	0.9018709074	0.5674257412
2	0.9036482694	0.5179291673
3	0.9036482694	0.4768411377
4	0.9092609916	0.439674447
5	0.9101028999	0.4082904539
6	0.9132834425	0.3801528483
7	0.9188961646	0.3553872651
8	0.919738073	0.3372412944
9	0.9208606174	0.3202251987
10	0.9227315248	0.304224458
11	0.9248830683	0.2907619716
12	0.926847521	0.2795350109
13	0.9288119738	0.2691642744
14	0.9284377923	0.2613471893
15	0.9279700655	0.2534273384
16	0.931150608	0.2446238694
17	0.9318054256	0.2375631641
18	0.9319925164	0.2309300174
19	0.9333021515	0.225741
20	0.9346117867	0.2202813279
21	0.936202058	0.2136669336
22	0.9371375117	0.2087797817
23	0.9391019645	0.2033127595
24	0.9408793265	0.1986612676
25	0.9421889616	0.1947015604
26	0.9439663237	0.1905440899
27	0.9453695042	0.187063968
28	0.9457436857	0.184230901
29	0.946585594	0.1811355208
30	0.9472404116	0.1782631257
31	0.9476145931	0.1758382187
32	0.9490177736	0.1725352763
33	0.9497661366	0.1702369843
34	0.949111319	0.1681754473
35	0.9500467727	0.1661119691
36	0.9515434986	0.1639076858
37	0.952666043	0.1606790211
38	0.9533208606	0.1585006408
39	0.9541627689	0.1568519938
40	0.9550982226	0.1545492386
41	0.9553788587	0.1522364885
42	0.9563143124	0.1500313102
43	0.9570626754	0.1478366197
44	0.9579045837	0.1457736017
45	0.9588400374	0.1438425144
46	0.9598690365	0.1425274366
47	0.9603367633	0.1408924302
48	0.9601496726	0.139495467
49	0.9613657624	0.1376183474
50	0.9608980355	0.1362900837
51	0.9623947615	0.1342863487
52	0.9623012161	0.1333314197
53	0.9624883068	0.1321389744
54	0.9623947615	0.1306750298
55	0.9629560337	0.1291363358
56	0.9637043966	0.12747552
57	0.9644527596	0.1258613427
58	0.9647333957	0.1246055832
59	0.9654817587	0.1232831743
60	0.9657623948	0.1223245415
61	0.9665107577	0.1211363947
62	0.9666043031	0.120075362
63	0.9671655753	0.118677576
64	0.967352666	0.1180382171
65	0.9680074836	0.1166157722
66	0.9682881197	0.1157211125
67	0.9689429373	0.1147519113
68	0.9691300281	0.1139960831
69	0.9692235734	0.1133260541
70	0.9692235734	0.11236492
71	0.9695977549	0.1111215423
72	0.9700654818	0.1100418762
73	0.9700654818	0.1090586773
74	0.9707202993	0.1083345132
75	0.9710009355	0.1074127237
76	0.9710009355	0.1067097076
77	0.9711880262	0.1058807573
78	0.971655753	0.1048093182
79	0.972404116	0.1039549562
80	0.9726847521	0.1030022776
81	0.9727782975	0.1023617793
82	0.9732460243	0.101206464
83	0.9736202058	0.1005278489
84	0.9738072965	0.09989673582
85	0.9738072965	0.0993091147
86	0.9740879326	0.09846533194
87	0.9743685688	0.0975753866
88	0.9748362956	0.0968599952
89	0.9750233863	0.09605499012
90	0.9748362956	0.09530116333
91	0.974929841	0.09482810752
92	0.9753975678	0.09415025735
93	0.97595884	0.09325251755
94	0.9762394761	0.09243001664
95	0.9763330215	0.09177626469
96	0.9768942937	0.09094246286
97	0.9769878391	0.09045432325
98	0.9774555659	0.08955504371
99	0.9776426567	0.08891920084
100	0.9777362021	0.08844780149
101	0.9779232928	0.08757393797
102	0.9779232928	0.08714772291
103	0.9781103835	0.08682410089
104	0.9782039289	0.08631922184
105	0.9783910196	0.08590744231
106	0.9785781104	0.08532991911
107	0.9786716558	0.08455399934
108	0.9790458372	0.08389599916
109	0.979232928	0.08311951744
110	0.9796071094	0.08260978841
111	0.9796071094	0.08225216683
112	0.9797942002	0.08177005595
113	0.980261927	0.08130591758
114	0.9804490178	0.08083104899
115	0.98101029	0.08002906819
116	0.9813844715	0.07931560559
117	0.9817586529	0.07885707548
118	0.9817586529	0.07846894387
119	0.9820392891	0.0775625543
120	0.9821328344	0.07729188048
121	0.9823199252	0.07687455717
122	0.9825070159	0.07649920303
123	0.9824134705	0.07599784914
124	0.9828811974	0.07562252366
125	0.9830682881	0.07508894868
126	0.9833489242	0.07442991567
127	0.9838166511	0.0738884632
128	0.9840037418	0.07356668249
129	0.9840972872	0.07310947705
130	0.9840037418	0.07284885929
131	0.9840972872	0.07239189575
132	0.9841908326	0.0719901795
133	0.9843779233	0.07143466976
134	0.9842843779	0.07121879802
135	0.9844714687	0.0706057709
136	0.9847521048	0.07030803508
137	0.9850327409	0.07004944641
138	0.9851262862	0.06973545688
139	0.985313377	0.06949136017
140	0.985313377	0.06914874468
141	0.9855004677	0.068871272
142	0.9856875585	0.0684863983
143	0.9856875585	0.06819502413
144	0.9861552853	0.06768257379
145	0.9860617399	0.06707792088
146	0.9860617399	0.06676679562
147	0.9859681946	0.06653332859
148	0.9862488307	0.06627245563
149	0.9865294668	0.06576757053
150	0.9866230122	0.06538861389
151	0.9867165575	0.0649998032
152	0.9867165575	0.06469456555
153	0.9867165575	0.06444092547
154	0.9869971936	0.06413874856
155	0.9869971936	0.06397591479
156	0.987090739	0.06369880659
157	0.9872778297	0.0633705548
158	0.9872778297	0.06292786282
159	0.9873713751	0.06256459206
160	0.9872778297	0.06191512228
161	0.9873713751	0.06158256717
162	0.9877455566	0.06137443866
163	0.9879326473	0.06114821537
164	0.9880261927	0.06084023344
165	0.9882132834	0.0604766747
166	0.9882132834	0.06028027294
167	0.9882132834	0.0599746603
168	0.9882132834	0.05966487706
169	0.9883068288	0.05932530604
170	0.9885874649	0.05901564193
171	0.9886810103	0.05848362077
172	0.9887745557	0.05805354313
173	0.9890551918	0.05779193964
174	0.9891487371	0.05731762457
175	0.9894293732	0.0568314274
176	0.9894293732	0.05656685441
177	0.9897100094	0.05614410406
178	0.9898035547	0.0556814924
179	0.9897100094	0.05522150576
180	0.9899906455	0.05477691725
181	0.9901777362	0.05433020067
182	0.9902712816	0.05377043403
183	0.9904583723	0.05337941372
184	0.9907390084	0.05319672347
185	0.9911131899	0.05292208193
186	0.9912067353	0.05261454041
187	0.991393826	0.05203622411
188	0.991393826	0.05185414349
189	0.9916744621	0.05171930645
190	0.9917680075	0.05146355607
191	0.9917680075	0.05124329996
192	0.992142189	0.05085453547
193	0.9920486436	0.05054021518
194	0.9923292797	0.05006873819
195	0.9922357343	0.04981581133
196	0.9925163704	0.04949056868
197	0.9927970065	0.0491444242
198	0.9930776427	0.04891879883
199	0.9929840973	0.04860084386
200	0.9930776427	0.04826637849
201	0.993171188	0.04784850044
202	0.9932647334	0.04746158697
203	0.993171188	0.04735270899
204	0.9932647334	0.0472332958
205	0.9932647334	0.04674482116
206	0.9935453695	0.04643555812
207	0.9937324602	0.04603588159
208	0.9938260056	0.04587227178
209	0.9937324602	0.04560119608
210	0.9941066417	0.0453136773
211	0.9942001871	0.04504542287
212	0.9943872778	0.04475836924
213	0.9943872778	0.04446132481
214	0.9943872778	0.04425004707
215	0.9944808232	0.04404918291
216	0.9943872778	0.04393822816
217	0.9942937325	0.04377306195
218	0.9947614593	0.04338081282
219	0.99494855	0.04308427321
220	0.9953227315	0.04292718732
221	0.9953227315	0.04260935237
222	0.9956033676	0.04228289674
223	0.9956033676	0.04197325614
224	0.9956033676	0.04171239539
225	0.9955098223	0.04145501697
226	0.9955098223	0.04135388096
227	0.9954162769	0.04096177779
228	0.9959775491	0.04063294231
229	0.9960710945	0.04045474925
230	0.996445276	0.04008362476
231	0.9965388213	0.03992019161
232	0.9965388213	0.03966816466
233	0.9966323667	0.03931966696
234	0.9966323667	0.03921103715
235	0.9966323667	0.0389978863
236	0.9966323667	0.03868769255
237	0.9968194574	0.0385425895
238	0.9968194574	0.0382872556
239	0.9969130028	0.0381614692
240	0.9969130028	0.03794011446
241	0.9971000935	0.03767983511
242	0.9971000935	0.03754424818
243	0.9971000935	0.03727686334
244	0.9970065482	0.0369797618
245	0.9972871843	0.03673080668
246	0.9973807297	0.036520435
247	0.997474275	0.03634728236
248	0.9973807297	0.03619777843
249	0.9973807297	0.03598305359
250	0.9972871843	0.03580811779
251	0.9973807297	0.03564498528
252	0.9973807297	0.03553133717
253	0.9975678204	0.03519850083
254	0.9975678204	0.03506973277
255	0.9975678204	0.03489178675
256	0.997474275	0.03470838837
257	0.997474275	0.03443876805
258	0.9975678204	0.03429127638
259	0.9976613658	0.03398200283
260	0.9977549111	0.03364241665
261	0.9977549111	0.03349791462
262	0.9977549111	0.03328043283
263	0.9976613658	0.03305592506
264	0.9975678204	0.03296336248
265	0.9975678204	0.0327781109
266	0.9976613658	0.03253314308
267	0.9977549111	0.03229323613
268	0.9977549111	0.03209677604
269	0.9977549111	0.03188252068
270	0.9977549111	0.03162605149
271	0.9978484565	0.0315061966
272	0.9980355472	0.03130935528
273	0.9979420019	0.03101996662
274	0.9981290926	0.03074629111
275	0.9981290926	0.0306062107
276	0.998222638	0.03041079242
277	0.998222638	0.03030627876
278	0.998222638	0.03006591225
279	0.9983161833	0.02992940479
280	0.9984097287	0.02975149153
281	0.9984097287	0.02953349054
282	0.9984097287	0.02938569522
283	0.9984097287	0.02927650536
284	0.9984097287	0.02912076632
285	0.9984097287	0.02904941819
286	0.9983161833	0.02892062819
287	0.9984097287	0.02877433048
288	0.9984097287	0.02864199958
289	0.9984097287	0.02849209818
290	0.9984097287	0.02831918418
291	0.9983161833	0.02813252272
292	0.9983161833	0.02791764585
293	0.9985032741	0.02771540419
294	0.9985032741	0.02753310884
295	0.9985032741	0.02747126172
296	0.9985968195	0.02730966681
297	0.9986903648	0.02713044135
298	0.9986903648	0.02702188827
299	0.9986903648	0.02688859569
300	0.9986903648	0.02680423237
301	0.9986903648	0.02674339022
302	0.9986903648	0.02659961814
303	0.9986903648	0.02647597242
304	0.9986903648	0.0262982688
305	0.9986903648	0.0262291567
306	0.9987839102	0.02611058141
307	0.9987839102	0.02603625788
308	0.9988774556	0.02590434962
309	0.9987839102	0.02574099091
310	0.9987839102	0.02563041805
311	0.9988774556	0.02546994707
312	0.9988774556	0.02542641593
313	0.9988774556	0.02532568907
314	0.9988774556	0.02517384229
315	0.9988774556	0.02509654933
316	0.9988774556	0.02499288512
317	0.9988774556	0.02474376036
318	0.9988774556	0.02462887132
319	0.9990645463	0.02449259874
