iter	Passed	Remaining
0	40	40952
1	71	35509
2	100	33482
3	136	34015
4	168	33535
5	198	32915
6	229	32552
7	260	32297
8	291	32048
9	321	31853
10	352	31667
11	382	31478
12	412	31315
13	442	31148
14	471	30950
15	501	30837
16	532	30801
17	562	30694
18	593	30656
19	624	30583
20	658	30692
21	689	30669
22	720	30593
23	751	30541
24	785	30617
25	814	30512
26	845	30463
27	896	31123
28	937	31405
29	977	31599
30	1025	32069
31	1063	32166
32	1094	32069
33	1125	31986
34	1155	31870
35	1189	31843
36	1220	31768
37	1251	31672
38	1282	31610
39	1313	31521
40	1343	31417
41	1373	31328
42	1404	31252
43	1433	31150
44	1462	31035
45	1494	31002
46	1524	30921
47	1554	30833
48	1584	30753
49	1615	30689
50	1653	30770
51	1683	30695
52	1717	30687
53	1749	30650
54	1780	30594
55	1809	30497
56	1839	30427
57	1869	30366
58	1899	30295
59	1929	30232
60	1963	30224
61	1991	30133
62	2021	30061
63	2051	30005
64	2080	29922
65	2111	29882
66	2139	29798
67	2169	29736
68	2198	29667
69	2232	29657
70	2264	29628
71	2294	29573
72	2323	29499
73	2352	29432
74	2381	29377
75	2411	29318
76	2440	29258
77	2469	29195
78	2500	29147
79	2530	29101
80	2560	29055
81	2591	29007
82	2619	28941
83	2649	28888
84	2677	28819
85	2706	28765
86	2736	28719
87	2769	28697
88	2799	28654
89	2827	28593
90	2859	28560
91	2888	28503
92	2916	28448
93	2948	28419
94	2979	28384
95	3008	28332
96	3038	28287
97	3067	28235
98	3096	28183
99	3124	28123
100	3153	28067
101	3182	28015
102	3211	27967
103	3239	27910
104	3269	27865
105	3300	27833
106	3330	27794
107	3360	27756
108	3390	27711
109	3420	27676
110	3448	27622
111	3479	27583
112	3513	27577
113	3543	27537
114	3571	27483
115	3600	27441
116	3630	27398
117	3660	27359
118	3690	27322
119	3719	27277
120	3748	27233
121	3777	27184
122	3807	27146
123	3840	27133
124	3870	27092
125	3900	27056
126	3930	27018
127	3963	27000
128	3992	26959
129	4022	26918
130	4050	26870
131	4078	26816
132	4108	26781
133	4137	26742
134	4168	26711
135	4198	26675
136	4228	26636
137	4256	26590
138	4293	26595
139	4345	26695
140	4389	26739
141	4433	26785
142	4476	26827
143	4521	26879
144	4560	26889
145	4607	26949
146	4654	27009
147	4700	27059
148	4747	27114
149	4796	27177
150	4853	27287
151	4911	27399
152	4967	27500
153	5019	27571
154	5055	27562
155	5095	27566
156	5139	27593
157	5178	27596
158	5221	27617
159	5264	27640
160	5307	27658
161	5353	27693
162	5399	27728
163	5444	27753
164	5474	27704
165	5515	27708
166	5548	27674
167	5578	27626
168	5607	27572
169	5637	27523
170	5666	27470
171	5695	27417
172	5725	27367
173	5756	27325
174	5786	27277
175	5814	27222
176	5842	27167
177	5872	27117
178	5906	27090
179	5941	27066
180	5969	27011
181	5997	26955
182	6025	26900
183	6054	26850
184	6084	26803
185	6112	26749
186	6141	26701
187	6171	26657
188	6201	26611
189	6229	26558
190	6257	26506
191	6287	26458
192	6316	26413
193	6345	26363
194	6374	26314
195	6404	26271
196	6437	26240
197	6469	26202
198	6497	26152
199	6526	26107
200	6556	26064
201	6585	26015
202	6614	25970
203	6643	25921
204	6670	25868
205	6700	25826
206	6729	25779
207	6757	25732
208	6787	25688
209	6817	25646
210	6847	25604
211	6876	25559
212	6904	25512
213	6937	25480
214	6970	25451
215	7001	25411
216	7030	25367
217	7059	25324
218	7088	25280
219	7119	25240
220	7149	25200
221	7179	25161
222	7208	25115
223	7238	25074
224	7266	25029
225	7295	24985
226	7323	24937
227	7352	24894
228	7382	24855
229	7411	24813
230	7442	24775
231	7474	24741
232	7505	24708
233	7536	24671
234	7566	24630
235	7594	24584
236	7625	24548
237	7654	24507
238	7687	24476
239	7717	24437
240	7744	24391
241	7773	24348
242	7803	24309
243	7831	24266
244	7859	24220
245	7889	24181
246	7923	24156
247	7951	24112
248	7982	24074
249	8013	24039
250	8046	24011
251	8075	23970
252	8105	23930
253	8134	23892
254	8164	23852
255	8193	23811
256	8222	23771
257	8251	23730
258	8284	23701
259	8312	23659
260	8342	23620
261	8373	23586
262	8402	23545
263	8431	23504
264	8460	23466
265	8489	23426
266	8519	23387
267	8553	23363
268	8584	23327
269	8613	23289
270	8642	23249
271	8673	23214
272	8701	23172
273	8729	23130
274	8758	23090
275	8787	23051
276	8818	23018
277	8847	22978
278	8876	22938
279	8911	22914
280	8941	22878
281	8969	22837
282	8999	22802
283	9028	22761
284	9061	22733
285	9092	22699
286	9120	22658
287	9148	22617
288	9177	22578
289	9205	22537
290	9234	22499
291	9267	22470
292	9296	22433
293	9337	22423
294	9371	22395
295	9401	22360
296	9430	22321
297	9459	22284
298	9488	22245
299	9518	22210
300	9546	22169
301	9577	22136
302	9610	22106
303	9640	22070
304	9669	22033
305	9698	21996
306	9725	21954
307	9756	21919
308	9785	21881
309	9813	21843
310	9841	21802
311	9870	21765
312	9902	21735
313	9933	21702
314	9963	21666
315	10008	21664
316	10056	21667
317	10103	21668
318	10153	21674
319	10201	21677
320	10240	21661
321	10287	21660
322	10331	21654
323	10376	21649
324	10425	21651
325	10481	21670
326	10532	21676
327	10586	21689
328	10633	21686
329	10689	21702
330	10737	21702
331	10768	21666
332	10807	21646
333	10847	21630
334	10884	21607
335	10928	21596
336	10969	21580
337	11011	21566
338	11055	21555
339	11099	21545
340	11141	21530
341	11179	21508
342	11209	21470
343	11239	21432
344	11269	21394
345	11298	21356
346	11327	21316
347	11355	21275
348	11385	21238
349	11415	21200
350	11444	21161
351	11472	21120
352	11500	21078
353	11529	21039
354	11559	21002
355	11588	20963
356	11617	20924
357	11645	20883
358	11675	20846
359	11704	20807
360	11735	20772
361	11764	20734
362	11794	20697
363	11824	20660
364	11853	20622
365	11882	20583
366	11951	20614
367	11980	20574
368	12009	20536
369	12037	20496
370	12066	20457
371	12095	20418
372	12123	20379
373	12153	20341
374	12180	20301
375	12210	20264
376	12246	20236
377	12275	20199
378	12305	20163
379	12334	20124
380	12363	20086
381	12392	20048
382	12420	20009
383	12449	19971
384	12479	19934
385	12508	19896
386	12537	19858
387	12565	19820
388	12594	19781
389	12623	19744
390	12652	19707
391	12681	19670
392	12711	19632
393	12739	19594
394	12772	19563
395	12802	19527
396	12832	19491
397	12862	19454
398	12896	19425
399	12924	19387
400	12954	19351
401	12983	19313
402	13011	19275
403	13041	19238
404	13070	19202
405	13101	19168
406	13129	19129
407	13158	19092
408	13189	19058
409	13219	19022
410	13247	18984
411	13278	18950
412	13309	18916
413	13338	18879
414	13366	18842
415	13395	18805
416	13427	18772
417	13456	18736
418	13487	18701
419	13515	18664
420	13544	18628
421	13573	18591
422	13603	18556
423	13632	18519
424	13663	18485
425	13691	18448
426	13719	18410
427	13747	18372
428	13776	18336
429	13810	18307
430	13843	18275
431	13870	18237
432	13903	18206
433	13932	18170
434	13961	18134
435	13989	18096
436	14019	18061
437	14047	18024
438	14078	17991
439	14108	17956
440	14136	17919
441	14165	17883
442	14194	17847
443	14223	17811
444	14251	17774
445	14280	17738
446	14310	17703
447	14342	17672
448	14372	17637
449	14400	17601
450	14433	17569
451	14462	17533
452	14491	17498
453	14520	17463
454	14548	17426
455	14577	17391
456	14607	17356
457	14637	17322
458	14666	17286
459	14695	17251
460	14725	17216
461	14755	17183
462	14787	17150
463	14816	17115
464	14845	17079
465	14881	17053
466	14913	17021
467	14941	16984
468	14972	16951
469	15001	16916
470	15031	16882
471	15060	16846
472	15088	16811
473	15118	16776
474	15145	16739
475	15174	16704
476	15204	16670
477	15233	16635
478	15263	16601
479	15292	16566
480	15321	16531
481	15349	16495
482	15391	16475
483	15423	16443
484	15452	16408
485	15480	16372
486	15510	16338
487	15551	16316
488	15585	16286
489	15614	16251
490	15645	16218
491	15687	16197
492	15738	16185
493	15794	16177
494	15841	16161
495	15890	16146
496	15938	16131
497	15985	16114
498	16026	16091
499	16073	16073
500	16119	16054
501	16168	16040
502	16224	16031
503	16275	16017
504	16338	16014
505	16387	15998
506	16439	15985
507	16490	15971
508	16535	15950
509	16604	15953
510	16649	15932
511	16693	15910
512	16733	15885
513	16775	15861
514	16819	15839
515	16860	15814
516	16905	15793
517	16939	15761
518	16971	15728
519	17002	15694
520	17033	15660
521	17064	15625
522	17092	15589
